0,601,595,81,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
599,0,516,603,196,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0
605,505,0,588,192,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,597,612,0,563,394,0,0,0,12,0,0,0,0,0,0,0,0,0,0
74,223,212,637,0,611,0,0,0,100,0,0,0,0,0,0,0,0,0,0
0,0,104,440,589,0,609,395,48,453,0,0,0,0,0,0,0,0,0,0
0,0,0,12,0,591,0,282,404,410,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,606,635,0,0,0,0,0,130,0,0,0,0
25,0,0,0,0,0,0,594,0,599,0,0,0,0,0,48,82,0,0,0
0,0,43,0,0,0,0,565,601,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,600,602,317,137,95,0,0,0,0
0,0,0,0,0,0,0,0,0,64,600,0,511,566,144,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,598,521,0,587,190,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,319,634,613,0,622,399,401,0,0,0
13,0,0,0,0,0,0,0,0,0,138,101,196,578,0,595,0,0,0,0
0,196,0,0,0,0,0,0,0,0,17,0,0,337,605,0,576,0,0,48
0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,624,0,328,415,394
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,567
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,0,592
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,608,0
