0,1394,1303,588,1136,360,282,1367,163,451,637,1257,1149,929,1231,0,411,1357,1328,1285,558,280,1338,319,75,662,711
1306,0,1334,866,1339,1360,891,1361,1330,1352,1318,1311,1359,922,1347,1337,635,1353,404,1306,1339,1274,1358,1323,1183,1384,1373
1397,1366,0,1386,779,1389,1395,852,1316,622,1383,1316,710,1337,816,436,1155,1042,1370,1068,578,1366,1033,1381,1388,1364,1343
280,130,573,0,1137,275,397,209,286,25,155,9,42,0,383,0,242,238,36,427,1082,364,223,31,1341,0,971
1308,958,635,1331,0,313,1298,421,602,395,612,90,761,0,306,0,193,398,82,898,1331,1323,618,317,451,129,759
254,625,573,249,135,0,1160,1312,52,585,478,232,3,0,163,0,5,152,0,124,121,380,650,1067,336,18,523
476,1352,1305,1354,1393,1373,0,1328,1328,1335,1367,1342,1365,446,1345,1319,1344,1382,1368,710,499,414,1361,1370,1345,274,1358
840,502,462,356,403,1388,695,0,443,989,648,180,22,109,1032,84,72,657,0,344,146,694,338,601,796,226,482
65,291,305,99,65,25,379,78,0,13,76,59,3,1352,650,0,124,220,452,14,57,234,279,143,119,307,270
134,211,147,11,140,111,230,90,20,0,533,330,0,15,301,0,0,145,0,110,165,163,150,26,168,13,95
1291,1367,1317,413,1278,1187,1327,1245,185,1346,0,777,1296,1313,1379,0,989,1076,54,1324,443,1362,1067,1349,1347,1341,1364
153,171,187,9,0,236,175,43,55,426,352,0,0,0,176,0,0,12,0,100,4,50,99,62,18,0,135
161,185,171,24,330,1,175,12,0,0,223,0,0,0,220,0,1323,9,0,3,219,193,88,17,254,0,175
18,80,137,0,0,0,51,11,1348,5,186,0,1,0,11,0,0,0,13,21,95,85,69,2,47,0,97
581,628,444,1221,169,378,638,983,1317,937,1321,1206,448,25,0,427,17,522,0,440,251,619,320,401,213,437,514
0,74,72,0,0,0,71,0,0,0,0,0,0,4,35,0,1,355,0,0,3,0,57,0,5,0,52
63,92,88,41,33,2,125,0,43,0,72,0,1377,0,1,5,0,104,6,0,31,29,110,8,0,0,110
1290,465,444,287,214,299,506,772,434,322,295,92,20,6,390,1337,341,0,0,462,255,864,1123,667,359,119,274
208,79,70,8,3,0,33,0,58,1,0,0,0,2,2,0,0,0,0,6,10,21,5,9,58,0,0
446,291,255,202,147,46,70,147,7,143,241,178,6,58,203,0,0,208,4,0,102,143,347,19,15,0,161
420,356,293,1081,1369,135,476,92,173,412,174,575,319,378,300,0,63,414,89,286,0,443,253,216,683,26,313
329,1218,1334,543,792,1256,300,856,360,317,1192,282,492,1220,1387,0,169,1375,956,542,625,0,1358,234,276,71,1389
1360,713,657,385,531,710,1339,393,612,1129,363,420,367,321,446,446,387,1273,111,1317,318,1313,0,648,619,1379,564
249,158,163,43,382,204,278,194,13,40,266,101,47,0,180,0,8,152,114,42,1006,127,179,0,360,72,183
33,174,508,1359,373,272,221,461,303,286,448,163,632,187,114,0,0,274,618,13,1165,119,339,412,0,710,528
2,111,110,0,8,26,73,80,72,4,129,0,0,0,108,0,0,51,0,0,7,1,161,23,90,0,61
689,1099,1074,904,850,843,1342,611,1325,356,1265,656,1325,954,725,305,1159,443,0,507,428,1298,892,1267,1301,408,0
