0,1613,5,30,0,11,0,29,1661,0,0,0,0,1,0,39,0,0,0,437,0,0,23,8,51,2
1715,0,1,0,33,6,1,0,23,171,32,184,40,0,0,0,0,168,332,0,0,1,0,4,8,2
0,0,0,6,74,89,0,368,21,371,256,0,209,0,301,3,679,60,98,0,19,616,554,158,556,243
37,0,0,0,1685,19,0,15,0,134,18,0,225,0,46,1100,0,18,48,0,321,350,664,47,544,7
0,28,113,1643,0,425,1,583,0,1684,534,1655,1633,0,204,397,0,1290,167,0,581,1119,1689,1673,1637,366
195,0,80,53,256,0,1624,21,22,119,404,68,461,50,319,7,795,158,0,0,108,1605,240,869,1004,195
0,0,0,0,1,1704,0,285,411,880,1725,86,599,1699,825,1722,1690,1625,15,1640,848,1673,1720,1532,1668,1705
103,0,633,69,580,32,214,0,126,143,1084,738,565,825,236,1704,601,557,1110,0,884,1200,1672,1185,1172,1138
1667,18,22,0,4,12,100,102,0,94,16,1116,25,0,4,103,46,0,1558,0,34,50,75,159,355,0
0,820,551,340,1639,135,220,1170,440,0,517,913,360,750,210,680,60,1646,452,0,351,1653,1158,360,554,0
0,55,1511,51,512,1072,1097,1589,38,1654,0,4,1618,1665,1598,570,15,0,115,102,62,550,22,1086,35,200
0,631,0,0,792,25,25,55,29,180,0,0,1,75,3,1,0,6,0,0,0,60,72,18,21,0
0,44,689,212,1695,1160,543,583,68,559,1710,3,0,574,479,1685,97,4,110,44,49,259,68,516,66,490
0,0,0,18,2,30,520,542,0,1564,486,473,514,0,0,81,0,156,27,0,1009,640,683,1623,316,87
0,0,534,97,155,392,409,208,3,192,461,28,426,0,0,1658,5,67,0,0,94,34,1560,1640,1647,341
651,0,0,1596,282,12,1606,1624,1378,1616,504,4,1643,111,1647,0,1613,116,1656,0,1633,374,362,27,23,1568
0,0,355,0,0,399,781,143,27,15,4,0,5,0,7,731,0,0,0,0,9,102,52,575,9,71
0,67,31,15,120,70,147,274,0,1682,0,3,2,67,28,42,0,0,0,0,48,297,962,33,335,0
0,1646,35,14,38,0,1,140,1667,46,51,0,43,19,0,794,7,0,0,0,1223,8,859,8,104,118
1232,0,0,0,0,0,27,0,17,0,1189,0,1090,0,0,0,0,0,0,0,0,2,13,0,230,0
14,0,43,703,569,110,512,718,176,589,62,0,70,1676,171,1695,198,104,1700,0,0,1636,939,264,876,1298
0,0,1665,966,1677,1698,1655,1703,237,1675,1615,925,381,1705,112,662,358,1091,31,59,1666,0,234,1689,1267,1714
75,0,1649,1598,1639,348,1487,1656,89,85,27,571,81,1654,1659,122,177,1675,1639,274,1501,207,0,1238,1133,1383
31,0,329,159,1655,1670,934,1658,840,170,698,169,560,1674,1688,47,1669,98,33,0,388,1639,983,0,1607,1667
271,98,1693,1627,1691,1687,1660,1689,1714,100,43,99,82,374,1681,37,102,1689,394,1645,1096,1184,1033,1721,0,1703
94,4,617,94,557,439,1623,995,0,1,228,0,1235,138,522,1704,1490,0,620,0,1632,1614,692,1661,1625,0
