0,463,490,170,40,0,0,0,0,0,0,0,0,0,0,0
497,0,407,483,150,18,0,0,0,0,0,0,0,0,0,0
470,399,0,469,163,79,0,0,0,0,0,0,0,0,0,0
175,477,491,0,473,343,86,0,0,0,0,0,0,0,0,0
53,176,151,487,0,502,172,0,0,0,0,0,0,0,0,0
0,51,68,315,458,0,456,0,0,0,0,0,0,0,0,0
0,0,0,19,117,504,0,249,331,305,0,0,0,0,0,0
0,0,0,0,0,0,0,0,472,474,0,0,0,0,0,0
0,0,0,4,15,0,0,488,0,462,0,0,0,0,0,0
0,0,0,0,0,0,0,486,498,0,27,0,0,0,0,0
0,0,0,0,0,0,0,0,0,70,0,457,482,240,116,0
0,0,0,0,0,0,0,0,0,0,503,0,453,465,127,0
397,0,24,11,0,0,0,0,0,0,478,403,0,469,153,0
0,0,0,0,0,0,0,0,0,0,228,495,491,0,456,0
0,0,0,0,0,0,0,0,0,0,124,93,170,504,0,492
0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,0
